Borough,NTA Code,NTA Name,Population,Centroid Lat,Centroid Long,Aggregated Hospitalization Rate,,,,,,,
Manhattan,MN28,Lower East Side,72957,-73.97935,40.71735,0.051596,,,,,,,
Manhattan,MN31,Lenox Hill-Roosevelt Island,80771,-73.95667,40.76642,0.050847,,,,,,,
Manhattan,MN32,Yorkville,77942,-73.94883,40.77755,0.050647,,,,,,,
Manhattan,MN33,East Harlem South,57902,-73.9458,40.78994,0.053553,,,,,,,
Manhattan,MN34,East Harlem North,58019,-73.93652,40.80164,0.055662,,,,,,,
Manhattan,MN35,Washington Heights North,67136,-73.93281,40.85776,0.052949,,,,,,,
Manhattan,MN36,Washington Heights South,84438,-73.94129,40.84163,0.053416,,,,,,,
Manhattan,MN40,Upper East Side-Carnegie Hill,61207,-73.96048,40.77545,0.049546,,,,,,,
Manhattan,MN50,Stuyvesant Town-Cooper Village,21049,-73.97652,40.7315,0.04941,,,,,,,
Queens,QN01,South Jamaica,38894,-73.79131,40.69437,0.058173,,,,,,,
Queens,QN02,Springfield Gardens North,25409,-73.77281,40.67223,0.054437,,,,,,,
Queens,QN03,Springfield Gardens South-Brookville,20132,-73.76807,40.66266,0.05581,,,,,,,
Queens,QN05,Rosedale,25063,-73.73534,40.65784,0.05623,,,,,,,
Queens,QN06,Jamaica Estates-Holliswood,25480,-73.77595,40.71967,0.052518,,,,,,,
Queens,QN07,Hollis,20269,-73.76129,40.71085,0.053528,,,,,,,
Queens,QN08,St. Albans,48593,-73.7634,40.69115,0.054691,,,,,,,
Queens,QN10,Breezy Point-Belle Harbor-Rockwy Prk-Broad Chnl,28018,-73.8418,40.57767,0.053385,,,,,,,
Queens,QN12,Hammels-Arverne-Edgemere,36885,-73.7902,40.5923,0.05688,,,,,,,
Queens,QN15,Far Rockaway-Bayswater,50058,-73.7544,40.6017,0.056112,,,,,,,
Queens,QN17,Forest Hills,83728,-73.8462,40.7216,0.051711,,,,,,,
Queens,QN18,Rego Park,28260,-73.86382,40.72712,0.050836,,,,,,,
Queens,QN19,Glendale,32496,-73.87674,40.70353,0.054086,,,,,,,
Queens,QN20,Ridgewood,69317,-73.90324,40.70592,0.055943,,,,,,,
Queens,QN21,Middle Village,37929,-73.87823,40.72011,0.051681,,,,,,,
Queens,QN22,Flushing,72008,-73.82991,40.76271,0.051312,,,,,,,
Queens,QN23,College Point,24275,-73.84086,40.77842,0.054302,,,,,,,
Queens,QN25,Corona,57658,-73.85904,40.74183,0.056066,,,,,,,
Queens,QN26,North Corona,52037,-73.86195,40.75273,0.057605,,,,,,,
Queens,QN27,East Elmhurst,23150,-73.86875,40.76326,0.055174,,,,,,,
Queens,QN28,Jackson Heights,108152,-73.88518,40.75714,0.053618,,,,,,,
Queens,QN29,Elmhurst,88427,-73.87547,40.74019,0.054467,,,,,,,
Queens,QN30,Maspeth,30516,-73.90242,40.72473,0.053379,,,,,,,
Queens,QN31,Hunters Point-Sunnyside-West Maspeth,63271,-73.92751,40.739,0.0538,,,,,,,
Queens,QN33,Cambria Heights,18677,-73.735,40.6946,0.05097,,,,,,,
Queens,QN34,Queens Village,52504,-73.7419,40.7157,0.054076,,,,,,,
Queens,QN35,Briarwood-Jamaica Hills,39138,-73.8094,40.7113,0.053624,,,,,,,
Queens,QN37,Kew Gardens Hills,37479,-73.81949,40.72715,0.05477,,,,,,,
Queens,QN38,Pomonok-Flushing Heights-Hillcrest,34034,-73.80072,40.72841,0.054391,,,,,,,
Queens,QN41,Fresh Meadows-Utopia,17812,-73.7841,40.7352,0.053678,,,,,,,
Queens,QN42,Oakland Gardens,28237,-73.7562,40.7404,0.052926,,,,,,,
Queens,QN43,Bellerose,25287,-73.7255,40.7359,0.053927,,,,,,,
Queens,QN44,Glen Oaks-Floral Park-New Hyde Park,22571,-73.7095,40.7465,0.048925,,,,,,,
Queens,QN45,Douglas Manor-Douglaston-Little Neck,24739,-73.7347,40.7645,0.052196,,,,,,,
Queens,QN46,Bayside-Bayside Hills,43808,-73.7735,40.7633,0.052639,,,,,,,
Queens,QN47,Ft. Totten-Bay Terrace-Clearview,21751,-73.7856,40.7828,0.048642,,,,,,,
Queens,QN48,Auburndale,19996,-73.7883,40.7511,0.052528,,,,,,,
Queens,QN49,Whitestone,30773,-73.8166,40.7876,0.051684,,,,,,,
Queens,QN50,Elmhurst-Maspeth,25521,-73.89384,40.7381,0.053662,,,,,,,
Queens,QN51,Murray Hill,51739,-73.8102,40.7677,0.051766,,,,,,,
Queens,QN52,East Flushing,26982,-73.80807,40.75477,0.052602,,,,,,,
Queens,QN53,Woodhaven,56674,-73.85667,40.68889,0.056501,,,,,,,
Queens,QN54,Richmond Hill,62982,-73.83142,40.69501,0.056086,,,,,,,
Queens,QN55,South Ozone Park,75878,-73.81936,40.67725,0.055149,,,,,,,
Queens,QN56,Ozone Park,21376,-73.84803,40.67581,0.055452,,,,,,,
Queens,QN57,Lindenwood-Howard Beach,26148,-73.84622,40.65843,0.050887,,,,,,,
Queens,QN60,Kew Gardens,23278,-73.82873,40.70828,0.053332,,,,,,,
Queens,QN61,Jamaica,53751,-73.79092,40.70646,0.05557,,,,,,,
Queens,QN62,Queensboro Hill,20800,-73.81826,40.74218,0.053691,,,,,,,
Queens,QN63,Woodside,45099,-73.90408,40.74891,0.054133,,,,,,,
Queens,QN66,Laurelton,24453,-73.74455,40.67549,0.053495,,,,,,,
Queens,QN68,Queensbridge-Ravenswood-Long Island City,20030,-73.93981,40.75784,0.055716,,,,,,,
Queens,QN70,Astoria,78793,-73.92116,40.76072,0.051886,,,,,,,
Queens,QN71,Old Astoria,27814,-73.92871,40.7717,0.053911,,,,,,,
Queens,QN72,Steinway,47534,-73.90601,40.7773,0.052659,,,,,,,
Queens,QN76,Baisley Park,34603,-73.79066,40.67968,0.055893,,,,,,,
Staten Island,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,27770,-74.1831,40.5299,0.053505,,,,,,,
Staten Island,SI05,New Springville-Bloomfield-Travis,39597,-74.1747,40.5982,0.053023,,,,,,,
Staten Island,SI07,Westerleigh,24102,-74.126,40.6168,0.053441,,,,,,,
Staten Island,SI08,Grymes Hill-Clifton-Fox Hills,22460,-74.09068,40.61508,0.056367,,,,,,,
Staten Island,SI11,Charleston-Richmond Valley-Tottenville,23313,-74.24054,40.52568,0.056243,,,,,,,
Staten Island,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,31474,-74.1651,40.632,0.05734,,,,,,,
Staten Island,SI14,Grasmere-Arrochar-Ft. Wadsworth,16079,-74.0676,40.5994,0.054506,,,,,,,
Staten Island,SI22,West New Brighton-New Brighton-St. George,33551,-74.10222,40.64164,0.057149,,,,,,,
Staten Island,SI24,Todt Hill-Emersn Hill-Heartland Villg-Lighthse Hill,30714,-74.1286,40.5853,0.052395,,,,,,,
Staten Island,SI25,Oakwood-Oakwood Beach,22049,-74.1212,40.5608,0.051622,,,,,,,
Staten Island,SI28,Port Richmond,20191,-74.1415,40.6287,0.055893,,,,,,,
Staten Island,SI32,Rossville-Woodrow,20763,-74.20819,40.5406,0.0551,,,,,,,
Staten Island,SI35,New Brighton-Silver Lake,17525,-74.10432,40.62903,0.055973,,,,,,,
Staten Island,SI36,Old Town-Dongan Hills-South Beach,24835,-74.0855,40.5857,0.053033,,,,,,,
Staten Island,SI37,Stapleton-Rosebank,26453,-74.07128,40.62174,0.055134,,,,,,,
Staten Island,SI45,New Dorp-Midland Beach,21896,-74.1037,40.5715,0.054087,,,,,,,
Staten Island,SI48,Arden Heights,25238,-74.1883,40.5512,0.05425,,,,,,,
Staten Island,SI54,Great Kills,40720,-74.1493,40.5503,0.053557,,,,,,,
